,year,month,day,hour,minute,second,lat,lon,depth_km,mag
293,1970,11,6,7,33,28,-0.8255,-80.8856,10000.0,4.49
294,1970,11,6,22,47,0,-15.493,-70.7633,10000.0,5.06
295,1970,11,7,2,28,17,-17.6517,-72.1034,35000.0,5.01
296,1970,11,10,10,39,29,7.9294,-82.39,10000.0,4.75
297,1970,11,10,22,12,6,-22.9922,-66.3998,242713.4,4.59
298,1970,11,11,19,47,6,-15.5077,-71.0734,35000.0,4.84
299,1970,11,12,0,10,53,6.7167,-72.8933,161000.0,4.16
300,1970,11,13,0,9,0,-22.1008,-69.9223,30265.2,5.62
301,1970,11,14,4,42,28,6.2415,-82.7118,10000.0,4.95
302,1970,11,14,19,1,8,-1.8861,-77.9755,150000.0,4.48
303,1970,11,15,14,43,35,-9.7234,-79.5075,25000.0,4.97
304,1970,11,15,19,36,43,-2.7176,-78.7849,100436.4,4.6
305,1970,11,15,22,18,24,-22.0407,-68.5117,133136.1,5.08
306,1970,11,16,12,22,22,-8.5896,-74.8438,136548.1,4.95
307,1970,11,19,13,19,49,-10.0844,-79.1146,52000.0,4.75
308,1970,11,20,12,5,24,-22.6429,-68.925,106844.1,4.83
309,1970,11,21,5,25,46,-31.4747,-69.7064,112278.4,4.77
310,1970,11,22,8,22,0,-9.8028,-79.8572,24000.0,4.65
311,1970,11,23,16,59,49,-11.8324,-75.1865,9000.0,4.72
312,1970,11,28,11,8,43,-21.0022,-69.7351,31970.2,6.02
313,1970,11,28,14,45,32,-20.9764,-69.8465,30294.0,5.88
314,1970,11,30,13,1,54,-39.3071,-70.9036,172853.6,4.74
315,1970,12,1,8,38,18,4.7828,-82.4585,12000.0,4.57
316,1970,12,2,5,12,24,-22.2669,-68.7683,120215.7,4.68
317,1970,12,3,4,59,53,7.3433,-76.1206,24365.3,5.565
318,1970,12,3,9,52,2,-39.9153,-72.7421,54253.1,4.58
319,1970,12,3,23,32,5,-29.5764,-70.9752,55000.0,4.79
320,1970,12,4,17,8,49,-23.2055,-70.0584,30241.5,6.22
321,1970,12,6,3,1,48,-19.024,-69.4786,108177.3,5.24
322,1970,12,7,12,14,23,7.1551,-77.7263,22461.4,4.81
323,1970,12,8,2,23,45,-23.5135,-64.5374,35000.0,4.48
324,1970,12,8,19,30,7,-30.8821,-71.2214,48486.3,6.19
325,1970,12,9,16,28,34,-1.4062,-77.6902,176516.1,5.01
326,1970,12,10,4,19,22,-22.1655,-69.0566,110000.0,4.48
327,1970,12,10,4,34,39,-4.0415,-80.6392,17400.5,6.95
328,1970,12,10,4,49,45,-3.5687,-80.5489,21038.8,5.36
329,1970,12,10,5,15,25,-3.9964,-80.459,57000.0,4.8
330,1970,12,10,5,26,56,-3.6464,-80.6518,40668.2,4.87
331,1970,12,10,5,32,51,-3.9897,-80.8161,41245.4,5.21
332,1970,12,10,5,45,48,-3.7558,-80.7607,39000.0,4.47
333,1970,12,10,6,51,20,-3.8891,-80.789,40671.2,4.76
334,1970,12,10,9,18,54,-3.8404,-80.8427,56441.6,4.7
335,1970,12,10,9,59,2,-3.9918,-80.7578,39000.0,4.82
336,1970,12,10,11,3,30,-3.9974,-80.4338,57000.0,4.6
337,1970,12,10,11,37,43,-4.1004,-80.9251,30469.9,5.43
338,1970,12,10,13,47,43,-4.0502,-80.9141,78655.2,4.75
339,1970,12,10,17,29,40,-3.9912,-80.9058,33119.1,4.98
340,1970,12,10,19,50,47,-4.2186,-80.9319,65771.5,5.06
341,1970,12,10,21,46,44,-3.903,-80.9256,46252.7,4.99
342,1970,12,11,3,57,22,-3.9048,-80.6975,42598.2,4.7
343,1970,12,11,10,1,23,-3.898,-80.8458,39000.0,4.77
344,1970,12,11,10,24,36,-4.0982,-80.8094,31670.9,5.585
345,1970,12,11,20,24,11,-4.1573,-80.9721,39000.0,4.58
346,1970,12,11,21,0,44,-4.0113,-81.0207,39000.0,4.8
347,1970,12,11,22,38,34,-10.2733,-79.5368,35000.0,4.31
348,1970,12,12,4,35,16,-4.0429,-80.8332,42000.0,4.39
349,1970,12,12,5,37,50,-5.8499,-74.8134,28998.2,4.7
350,1970,12,12,14,58,40,-3.8691,-80.6871,72333.8,4.25
351,1970,12,12,21,13,19,-4.0784,-80.9876,39000.0,4.68
352,1970,12,12,22,38,40,-3.9265,-81.0272,40329.8,4.56
353,1970,12,13,0,15,23,-4.064,-80.7344,35000.0,4.84
354,1970,12,13,0,50,55,-4.0669,-80.8594,35909.1,4.7
355,1970,12,13,23,36,56,-3.9648,-80.8538,39000.0,4.56
356,1970,12,14,6,23,37,-3.9516,-80.7518,54770.5,4.7
357,1970,12,14,7,32,52,-1.4371,-80.8986,24330.2,5.535
358,1970,12,14,8,1,41,-1.3749,-80.9532,11000.0,4.53
359,1970,12,14,8,28,53,-4.0638,-81.0488,42795.8,4.81
360,1970,12,14,9,41,36,-3.9952,-80.8007,47217.4,4.59
361,1970,12,14,15,29,24,-1.488,-80.7145,11000.0,4.48
362,1970,12,14,17,30,35,-15.2474,-73.7529,80000.0,4.7
363,1970,12,15,21,15,21,-4.0206,-80.9086,31487.5,5.1
364,1970,12,16,1,0,48,5.9756,-77.5042,18881.8,5.6
365,1970,12,16,22,55,58,-21.9862,-68.9573,123649.4,4.65
366,1970,12,17,7,39,54,6.5307,-77.2631,13000.0,5.03
367,1970,12,17,15,16,50,-4.1779,-81.0627,39000.0,4.58
368,1970,12,18,7,8,13,-4.188,-80.979,39000.0,4.58
